#X,#CH1
#Second,#Volt
-2.92E-05,-8.00E-03
-2.91E-05,0.00E+00
-2.90E-05,0.00E+00
-2.89E-05,0.00E+00
-2.88E-05,0.00E+00
-2.87E-05,-8.00E-03
-2.86E-05,0.00E+00
-2.85E-05,8.00E-03
-2.84E-05,0.00E+00
-2.83E-05,8.00E-03
-2.82E-05,8.00E-03
-2.81E-05,8.00E-03
-2.80E-05,8.00E-03
-2.79E-05,8.00E-03
-2.78E-05,8.00E-03
-2.77E-05,8.00E-03
-2.76E-05,8.00E-03
-2.75E-05,8.00E-03
-2.74E-05,8.00E-03
-2.73E-05,8.00E-03
-2.72E-05,8.00E-03
-2.71E-05,8.00E-03
-2.70E-05,1.60E-02
-2.69E-05,8.00E-03
-2.68E-05,8.00E-03
-2.67E-05,8.00E-03
-2.66E-05,8.00E-03
-2.65E-05,8.00E-03
-2.64E-05,8.00E-03
-2.63E-05,8.00E-03
-2.62E-05,8.00E-03
-2.61E-05,8.00E-03
-2.60E-05,8.00E-03
-2.59E-05,8.00E-03
-2.58E-05,0.00E+00
-2.57E-05,8.00E-03
-2.56E-05,0.00E+00
-2.55E-05,8.00E-03
-2.54E-05,0.00E+00
-2.53E-05,0.00E+00
-2.52E-05,0.00E+00
-2.51E-05,0.00E+00
-2.50E-05,-8.00E-03
-2.49E-05,0.00E+00
-2.48E-05,-8.00E-03
-2.47E-05,-8.00E-03
-2.46E-05,-8.00E-03
-2.45E-05,-8.00E-03
-2.44E-05,-8.00E-03
-2.43E-05,-8.00E-03
-2.42E-05,-1.60E-02
-2.41E-05,-8.00E-03
-2.40E-05,-1.60E-02
-2.39E-05,-1.60E-02
-2.38E-05,-1.60E-02
-2.37E-05,-1.60E-02
-2.36E-05,-1.60E-02
-2.35E-05,-2.40E-02
-2.34E-05,-2.40E-02
-2.33E-05,-1.60E-02
-2.32E-05,-2.40E-02
-2.31E-05,-1.60E-02
-2.30E-05,-2.40E-02
-2.29E-05,-2.40E-02
-2.28E-05,-2.40E-02
-2.27E-05,-2.40E-02
-2.26E-05,-3.20E-02
-2.25E-05,-2.40E-02
-2.24E-05,-3.20E-02
-2.23E-05,-2.40E-02
-2.22E-05,-2.40E-02
-2.21E-05,-2.40E-02
-2.20E-05,-2.40E-02
-2.19E-05,-3.20E-02
-2.18E-05,-2.40E-02
-2.17E-05,-3.20E-02
-2.16E-05,-3.20E-02
-2.15E-05,-3.20E-02
-2.14E-05,-3.20E-02
-2.13E-05,-2.40E-02
-2.12E-05,-2.40E-02
-2.11E-05,-3.20E-02
-2.10E-05,-2.40E-02
-2.09E-05,-2.40E-02
-2.08E-05,-2.40E-02
-2.07E-05,-2.40E-02
-2.06E-05,-3.20E-02
-2.05E-05,-2.40E-02
-2.04E-05,-2.40E-02
-2.03E-05,-1.60E-02
-2.02E-05,-2.40E-02
-2.01E-05,-2.40E-02
-2.00E-05,-1.60E-02
-1.99E-05,-1.60E-02
-1.98E-05,-1.60E-02
-1.97E-05,-1.60E-02
-1.96E-05,-1.60E-02
-1.95E-05,-2.40E-02
-1.94E-05,-8.00E-03
-1.93E-05,-8.00E-03
-1.92E-05,-8.00E-03
-1.91E-05,-8.00E-03
-1.90E-05,-8.00E-03
-1.89E-05,-8.00E-03
-1.88E-05,-8.00E-03
-1.87E-05,-8.00E-03
-1.86E-05,0.00E+00
-1.85E-05,-8.00E-03
-1.84E-05,0.00E+00
-1.83E-05,0.00E+00
-1.82E-05,0.00E+00
-1.81E-05,8.00E-03
-1.80E-05,0.00E+00
-1.79E-05,0.00E+00
-1.78E-05,8.00E-03
-1.77E-05,8.00E-03
-1.76E-05,0.00E+00
-1.75E-05,8.00E-03
-1.74E-05,0.00E+00
-1.73E-05,8.00E-03
-1.72E-05,8.00E-03
-1.71E-05,8.00E-03
-1.70E-05,8.00E-03
-1.69E-05,8.00E-03
-1.68E-05,1.60E-02
-1.67E-05,8.00E-03
-1.66E-05,8.00E-03
-1.65E-05,8.00E-03
-1.64E-05,8.00E-03
-1.63E-05,1.60E-02
-1.62E-05,8.00E-03
-1.61E-05,8.00E-03
-1.60E-05,8.00E-03
-1.59E-05,8.00E-03
-1.58E-05,8.00E-03
-1.57E-05,1.60E-02
-1.56E-05,8.00E-03
-1.55E-05,8.00E-03
-1.54E-05,8.00E-03
-1.53E-05,8.00E-03
-1.52E-05,8.00E-03
-1.51E-05,0.00E+00
-1.50E-05,8.00E-03
-1.49E-05,8.00E-03
-1.48E-05,0.00E+00
-1.47E-05,8.00E-03
-1.46E-05,0.00E+00
-1.45E-05,0.00E+00
-1.44E-05,0.00E+00
-1.43E-05,-8.00E-03
-1.42E-05,0.00E+00
-1.41E-05,-8.00E-03
-1.40E-05,-8.00E-03
-1.39E-05,-8.00E-03
-1.38E-05,-1.60E-02
-1.37E-05,-8.00E-03
-1.36E-05,-8.00E-03
-1.35E-05,-1.60E-02
-1.34E-05,-8.00E-03
-1.33E-05,-1.60E-02
-1.32E-05,-1.60E-02
-1.31E-05,-1.60E-02
-1.30E-05,-1.60E-02
-1.29E-05,-1.60E-02
-1.28E-05,-2.40E-02
-1.27E-05,-2.40E-02
-1.26E-05,-2.40E-02
-1.25E-05,-2.40E-02
-1.24E-05,-2.40E-02
-1.23E-05,-2.40E-02
-1.22E-05,-2.40E-02
-1.21E-05,-2.40E-02
-1.20E-05,-2.40E-02
-1.19E-05,-2.40E-02
-1.18E-05,-2.40E-02
-1.17E-05,-3.20E-02
-1.16E-05,-2.40E-02
-1.15E-05,-2.40E-02
-1.14E-05,-3.20E-02
-1.13E-05,-3.20E-02
-1.12E-05,-3.20E-02
-1.11E-05,-3.20E-02
-1.10E-05,-3.20E-02
-1.09E-05,-3.20E-02
-1.08E-05,-2.40E-02
-1.07E-05,-2.40E-02
-1.06E-05,-2.40E-02
-1.05E-05,-2.40E-02
-1.04E-05,-3.20E-02
-1.03E-05,-2.40E-02
-1.02E-05,-2.40E-02
-1.01E-05,-2.40E-02
-9.99E-06,-2.40E-02
-9.89E-06,-2.40E-02
-9.80E-06,-2.40E-02
-9.69E-06,-2.40E-02
-9.59E-06,-2.40E-02
-9.49E-06,-1.60E-02
-9.39E-06,-1.60E-02
-9.29E-06,-1.60E-02
-9.20E-06,-1.60E-02
-9.09E-06,-1.60E-02
-8.99E-06,-1.60E-02
-8.89E-06,-1.60E-02
-8.79E-06,-1.60E-02
-8.69E-06,-8.00E-03
-8.60E-06,-1.60E-02
-8.50E-06,-8.00E-03
-8.39E-06,-8.00E-03
-8.29E-06,-8.00E-03
-8.19E-06,-8.00E-03
-8.09E-06,0.00E+00
-7.99E-06,0.00E+00
-7.90E-06,0.00E+00
-7.79E-06,-8.00E-03
-7.69E-06,0.00E+00
-7.60E-06,0.00E+00
-7.50E-06,0.00E+00
-7.40E-06,0.00E+00
-7.30E-06,0.00E+00
-7.20E-06,8.00E-03
-7.10E-06,8.00E-03
-7.00E-06,0.00E+00
-6.90E-06,8.00E-03
-6.80E-06,8.00E-03
-6.70E-06,8.00E-03
-6.60E-06,8.00E-03
-6.50E-06,8.00E-03
-6.40E-06,8.00E-03
-6.30E-06,8.00E-03
-6.20E-06,8.00E-03
-6.10E-06,8.00E-03
-6.00E-06,8.00E-03
-5.90E-06,8.00E-03
-5.80E-06,8.00E-03
-5.70E-06,8.00E-03
-5.60E-06,8.00E-03
-5.50E-06,8.00E-03
-5.40E-06,8.00E-03
-5.30E-06,8.00E-03
-5.20E-06,0.00E+00
-5.10E-06,8.00E-03
-5.00E-06,8.00E-03
-4.90E-06,8.00E-03
-4.80E-06,8.00E-03
-4.70E-06,8.00E-03
-4.60E-06,0.00E+00
-4.50E-06,8.00E-03
-4.40E-06,8.00E-03
-4.30E-06,0.00E+00
-4.20E-06,0.00E+00
-4.10E-06,0.00E+00
-4.00E-06,0.00E+00
-3.90E-06,0.00E+00
-3.80E-06,0.00E+00
-3.70E-06,0.00E+00
-3.60E-06,0.00E+00
-3.50E-06,0.00E+00
-3.40E-06,-8.00E-03
-3.30E-06,-8.00E-03
-3.20E-06,-8.00E-03
-3.10E-06,-1.60E-02
-3.00E-06,-1.60E-02
-2.90E-06,-8.00E-03
-2.80E-06,-1.60E-02
-2.70E-06,-8.00E-03
-2.60E-06,-1.60E-02
-2.50E-06,-1.60E-02
-2.40E-06,-1.60E-02
-2.30E-06,-2.40E-02
-2.20E-06,-1.60E-02
-2.10E-06,-1.60E-02
-2.00E-06,-2.40E-02
-1.90E-06,-1.60E-02
-1.80E-06,-2.40E-02
-1.70E-06,-2.40E-02
-1.60E-06,-2.40E-02
-1.50E-06,-3.20E-02
-1.40E-06,-2.40E-02
-1.30E-06,-2.40E-02
-1.20E-06,-2.40E-02
-1.10E-06,-2.40E-02
-1.00E-06,-3.20E-02
-9.00E-07,-2.40E-02
-8.00E-07,-2.40E-02
-7.00E-07,-3.20E-02
-6.00E-07,-3.20E-02
-5.00E-07,-3.20E-02
-4.00E-07,-3.20E-02
-3.00E-07,-3.20E-02
-2.00E-07,-3.20E-02
-1.00E-07,-2.40E-02
4.75E-14,-3.20E-02
1.00E-07,-2.40E-02
2.00E-07,-2.40E-02
3.00E-07,-3.20E-02
4.00E-07,-2.40E-02
5.00E-07,-2.40E-02
6.00E-07,-3.20E-02
7.00E-07,-2.40E-02
8.00E-07,-2.40E-02
9.00E-07,-2.40E-02
1.00E-06,-1.60E-02
1.10E-06,-2.40E-02
1.20E-06,-1.60E-02
1.30E-06,-1.60E-02
1.40E-06,-1.60E-02
1.50E-06,-1.60E-02
1.60E-06,-1.60E-02
1.70E-06,-1.60E-02
1.80E-06,-8.00E-03
1.90E-06,-1.60E-02
2.00E-06,-8.00E-03
2.10E-06,-8.00E-03
2.20E-06,-8.00E-03
2.30E-06,-8.00E-03
2.40E-06,-8.00E-03
2.50E-06,-8.00E-03
2.60E-06,-8.00E-03
2.70E-06,-8.00E-03
2.80E-06,0.00E+00
2.90E-06,0.00E+00
3.00E-06,0.00E+00
3.10E-06,0.00E+00
3.20E-06,0.00E+00
3.30E-06,0.00E+00
3.40E-06,0.00E+00
3.50E-06,8.00E-03
3.60E-06,8.00E-03
3.70E-06,8.00E-03
3.80E-06,8.00E-03
3.90E-06,8.00E-03
4.00E-06,8.00E-03
4.10E-06,8.00E-03
4.20E-06,8.00E-03
4.30E-06,8.00E-03
4.40E-06,8.00E-03
4.50E-06,8.00E-03
4.60E-06,8.00E-03
4.70E-06,8.00E-03
4.80E-06,8.00E-03
4.90E-06,8.00E-03
5.00E-06,8.00E-03
5.10E-06,8.00E-03
5.20E-06,8.00E-03
5.30E-06,8.00E-03
5.40E-06,8.00E-03
5.50E-06,8.00E-03
5.60E-06,8.00E-03
5.70E-06,8.00E-03
5.80E-06,8.00E-03
5.90E-06,8.00E-03
6.00E-06,8.00E-03
6.10E-06,0.00E+00
6.20E-06,0.00E+00
6.30E-06,8.00E-03
6.40E-06,0.00E+00
6.50E-06,8.00E-03
6.60E-06,0.00E+00
6.70E-06,0.00E+00
6.80E-06,0.00E+00
6.90E-06,0.00E+00
7.00E-06,0.00E+00
7.10E-06,-8.00E-03
7.20E-06,-8.00E-03
7.30E-06,-8.00E-03
7.40E-06,-8.00E-03
7.50E-06,-8.00E-03
7.60E-06,-8.00E-03
7.69E-06,-1.60E-02
7.79E-06,-1.60E-02
7.89E-06,-8.00E-03
7.99E-06,-1.60E-02
8.09E-06,-1.60E-02
8.19E-06,-1.60E-02
8.29E-06,-1.60E-02
8.39E-06,-1.60E-02
8.49E-06,-2.40E-02
8.59E-06,-1.60E-02
8.69E-06,-2.40E-02
8.79E-06,-2.40E-02
8.89E-06,-2.40E-02
8.99E-06,-2.40E-02
9.09E-06,-2.40E-02
9.19E-06,-2.40E-02
9.29E-06,-2.40E-02
9.39E-06,-2.40E-02
9.49E-06,-2.40E-02
9.59E-06,-3.20E-02
9.69E-06,-2.40E-02
9.79E-06,-3.20E-02
9.89E-06,-3.20E-02
9.99E-06,-2.40E-02
1.01E-05,-3.20E-02
1.02E-05,-2.40E-02
1.03E-05,-3.20E-02
1.04E-05,-3.20E-02
1.05E-05,-3.20E-02
1.06E-05,-2.40E-02
1.07E-05,-2.40E-02
1.08E-05,-2.40E-02
1.09E-05,-3.20E-02
1.10E-05,-2.40E-02
1.11E-05,-2.40E-02
1.12E-05,-2.40E-02
1.13E-05,-2.40E-02
1.14E-05,-2.40E-02
1.15E-05,-1.60E-02
1.16E-05,-2.40E-02
1.17E-05,-2.40E-02
1.18E-05,-2.40E-02
1.19E-05,-2.40E-02
1.20E-05,-2.40E-02
1.21E-05,-1.60E-02
1.22E-05,-1.60E-02
1.23E-05,-1.60E-02
1.24E-05,-1.60E-02
1.25E-05,-1.60E-02
1.26E-05,-1.60E-02
1.27E-05,-1.60E-02
1.28E-05,-1.60E-02
1.29E-05,-8.00E-03
1.30E-05,-8.00E-03
1.31E-05,-8.00E-03
1.32E-05,-8.00E-03
1.33E-05,-8.00E-03
1.34E-05,0.00E+00
1.35E-05,0.00E+00
1.36E-05,0.00E+00
1.37E-05,0.00E+00
1.38E-05,0.00E+00
1.39E-05,0.00E+00
1.40E-05,0.00E+00
1.41E-05,0.00E+00
1.42E-05,0.00E+00
1.43E-05,0.00E+00
1.44E-05,8.00E-03
1.45E-05,8.00E-03
1.46E-05,0.00E+00
1.47E-05,8.00E-03
1.48E-05,8.00E-03
1.49E-05,8.00E-03
1.50E-05,8.00E-03
1.51E-05,8.00E-03
1.52E-05,8.00E-03
1.53E-05,8.00E-03
1.54E-05,8.00E-03
1.55E-05,8.00E-03
1.56E-05,8.00E-03
1.57E-05,8.00E-03
1.58E-05,8.00E-03
1.59E-05,8.00E-03
1.60E-05,8.00E-03
1.61E-05,8.00E-03
1.62E-05,8.00E-03
1.63E-05,8.00E-03
1.64E-05,8.00E-03
1.65E-05,8.00E-03
1.66E-05,8.00E-03
1.67E-05,8.00E-03
1.68E-05,0.00E+00
1.69E-05,0.00E+00
1.70E-05,0.00E+00
1.71E-05,8.00E-03
1.72E-05,0.00E+00
1.73E-05,0.00E+00
1.74E-05,0.00E+00
1.75E-05,0.00E+00
1.76E-05,-8.00E-03
1.77E-05,0.00E+00
1.78E-05,-8.00E-03
1.79E-05,-8.00E-03
1.80E-05,-8.00E-03
1.81E-05,-8.00E-03
1.82E-05,-8.00E-03
1.83E-05,-1.60E-02
1.84E-05,-8.00E-03
1.85E-05,-1.60E-02
1.86E-05,-1.60E-02
1.87E-05,-1.60E-02
1.88E-05,-1.60E-02
1.89E-05,-1.60E-02
1.90E-05,-1.60E-02
1.91E-05,-1.60E-02
1.92E-05,-2.40E-02
1.93E-05,-1.60E-02
1.94E-05,-2.40E-02
1.95E-05,-2.40E-02
1.96E-05,-2.40E-02
1.97E-05,-2.40E-02
1.98E-05,-2.40E-02
1.99E-05,-2.40E-02
2.00E-05,-3.20E-02
2.01E-05,-1.60E-02
2.02E-05,-2.40E-02
2.03E-05,-2.40E-02
2.04E-05,-3.20E-02
2.05E-05,-3.20E-02
2.06E-05,-2.40E-02
2.07E-05,-3.20E-02
2.08E-05,-3.20E-02
2.09E-05,-3.20E-02
2.10E-05,-3.20E-02
2.11E-05,-2.40E-02
2.12E-05,-3.20E-02
2.13E-05,-3.20E-02
2.14E-05,-2.40E-02
2.15E-05,-3.20E-02
2.16E-05,-2.40E-02
2.17E-05,-2.40E-02
2.18E-05,-2.40E-02
2.19E-05,-2.40E-02
2.20E-05,-2.40E-02
2.21E-05,-2.40E-02
2.22E-05,-2.40E-02
2.23E-05,-2.40E-02
2.24E-05,-2.40E-02
2.25E-05,-1.60E-02
2.26E-05,-2.40E-02
2.27E-05,-1.60E-02
2.28E-05,-1.60E-02
2.29E-05,-1.60E-02
2.30E-05,-1.60E-02
2.31E-05,-1.60E-02
2.32E-05,-1.60E-02
2.33E-05,-8.00E-03
2.34E-05,-8.00E-03
2.35E-05,-8.00E-03
2.36E-05,-8.00E-03
2.37E-05,-8.00E-03
2.38E-05,-8.00E-03
2.39E-05,-8.00E-03
2.40E-05,-8.00E-03
2.41E-05,0.00E+00
2.42E-05,0.00E+00
2.43E-05,0.00E+00
2.44E-05,0.00E+00
2.45E-05,0.00E+00
2.46E-05,0.00E+00
2.47E-05,0.00E+00
2.48E-05,0.00E+00
2.49E-05,8.00E-03
2.50E-05,0.00E+00
2.51E-05,8.00E-03
2.52E-05,8.00E-03
2.53E-05,0.00E+00
2.54E-05,8.00E-03
2.55E-05,8.00E-03
2.56E-05,8.00E-03
2.57E-05,1.60E-02
2.58E-05,8.00E-03
2.59E-05,8.00E-03
2.60E-05,8.00E-03
2.61E-05,8.00E-03
2.62E-05,8.00E-03
2.63E-05,8.00E-03
2.64E-05,1.60E-02
2.65E-05,8.00E-03
2.66E-05,8.00E-03
2.67E-05,8.00E-03
2.68E-05,8.00E-03
2.69E-05,8.00E-03
2.70E-05,8.00E-03
2.71E-05,8.00E-03
2.72E-05,8.00E-03
2.73E-05,8.00E-03
2.74E-05,0.00E+00
2.75E-05,8.00E-03
2.76E-05,0.00E+00
2.77E-05,8.00E-03
2.78E-05,0.00E+00
2.79E-05,0.00E+00
2.80E-05,0.00E+00
2.81E-05,0.00E+00
2.82E-05,-8.00E-03
2.83E-05,0.00E+00
2.84E-05,-8.00E-03
2.85E-05,0.00E+00
2.86E-05,-8.00E-03
2.87E-05,-1.60E-02
2.88E-05,-8.00E-03
2.89E-05,-1.60E-02
2.90E-05,-8.00E-03
2.91E-05,-8.00E-03
2.92E-05,-1.60E-02
2.93E-05,-1.60E-02
2.94E-05,-1.60E-02
2.95E-05,-1.60E-02
2.96E-05,-1.60E-02
2.97E-05,-1.60E-02
2.98E-05,-1.60E-02
2.99E-05,-2.40E-02
3.00E-05,-2.40E-02
3.01E-05,-1.60E-02
3.02E-05,-2.40E-02
3.03E-05,-2.40E-02
3.04E-05,-2.40E-02
3.05E-05,-2.40E-02
3.06E-05,-2.40E-02
3.07E-05,-2.40E-02
